frame,x,y
0,1019,512
1,1019,512
2,1019,512
3,1019,512
4,1019,512
5,1019,512
6,1019,512
7,1019,512
8,1019,512
9,1019,512
10,1019,512
11,1019,512
12,1019,512
13,1019,512
14,1019,512
15,1019,512
16,1019,512
17,1019,512
18,1019,512
19,1019,512
20,1028,516
21,1051,526
22,1087,541
23,1154,563
24,1221,582
25,1266,594
26,1311,601
27,1363,603
28,1424,604
29,1477,604
30,1536,590
31,1594,568
32,1670,540
33,1718,520
34,1756,503
35,1782,487
36,1803,468
37,1820,447
38,1833,437
39,1838,429
40,1843,420
41,1846,412
42,1853,400
43,1861,389
44,1867,378
45,1873,367
46,1875,359
47,1882,350
48,1884,344
49,1887,340
50,1889,337
51,1892,333
52,1894,329
53,1897,326
54,1900,323
55,1901,322
56,1902,320
57,1902,319
58,1905,314
59,1906,312
60,1906,306
61,1907,299
62,1908,291
63,1909,283
64,1911,275
65,1911,266
66,1912,255
67,1913,244
68,1914,235
69,1914,222
70,1914,213
71,1914,205
72,1914,196
73,1914,191
74,1914,187
75,1914,183
76,1914,179
77,1914,175
78,1914,170
79,1914,169
80,1914,168
81,1914,168
82,1914,168
83,1914,168
84,1914,168
85,1912,169
86,1906,173
87,1890,186
88,1871,198
89,1847,218
90,1773,274
91,1725,317
92,1682,368
93,1638,414
94,1570,456
95,1471,504
96,1335,542
97,1208,550
98,1019,538
99,880,508
100,812,483
101,772,462
102,743,440
103,722,419
104,700,399
105,682,384
106,666,373
107,636,354
108,601,333
109,576,321
110,552,311
111,528,301
112,505,292
113,486,290
114,472,290
115,460,293
116,449,295
117,441,298
118,434,301
119,424,304
120,412,306
121,407,307
122,399,309
123,389,312
124,381,313
125,374,315
126,369,316
127,365,317
128,363,317
129,363,317
130,363,317
131,363,318
132,363,318
133,363,318
134,363,318
135,363,318
136,363,318
137,363,318
138,363,318
139,363,318
140,363,318
141,363,317
142,363,317
143,364,315
144,365,315
145,366,315
146,369,313
147,374,309
148,379,305
149,387,303
150,396,297
151,412,288
152,436,275
153,454,267
154,471,256
155,485,248
156,498,245
157,514,242
158,536,238
159,565,236
160,595,235
161,639,234
162,685,234
163,728,236
164,780,248
165,816,267
166,842,282
167,869,298
168,878,303
169,883,307
170,887,311
171,890,314
172,895,319
173,898,322
174,903,328
175,906,333
176,910,337
177,912,339
178,914,341
179,916,342
180,917,343
181,917,343
182,917,344
183,917,344
184,917,344
185,917,344
186,917,344
187,917,344
188,917,344
189,917,344
190,917,344
191,917,344
192,917,344
193,917,344
194,917,344
195,917,344
196,917,344
197,917,344
198,917,344
199,917,344
200,917,344
201,917,344
202,917,344
203,917,344
204,917,344
205,917,344
206,917,344
207,917,344
208,917,344
209,917,344
210,917,344
211,917,344
212,917,344
213,917,344
214,917,344
215,917,344
216,917,344
217,917,344
218,917,344
219,917,344
220,917,344
221,917,344
222,917,344
223,917,344
224,917,344
225,917,344
226,917,344
227,917,344
228,917,344
229,917,344
230,917,344
231,917,344
232,917,344
233,917,344
234,917,344
235,917,344
236,917,344
237,917,344
238,917,344
239,917,344
240,917,344
241,917,344
242,917,344
243,917,344
244,917,344
245,917,344
246,917,344
247,917,344
248,917,344
249,917,344
250,917,344
251,917,344
252,917,344
253,917,344
254,917,344
255,917,344
256,917,344
257,917,344
258,917,344
259,917,344
260,917,344
261,917,344
262,917,344
